xcorr,ycorr,colors
0.0,0.0,1
0.5,0.0,1
0.25,0.8660254037844386,2
0.625,0.4330127018922193,1
0.8125,0.21650635094610965,1
0.90625,0.10825317547305482,1
0.953125,0.05412658773652741,1
-0.0234375,0.027063293868263706,0
-0.51171875,0.013531646934131853,0
-0.255859375,0.8727912272515045,2
-0.1279296875,1.302421017410191,2
0.43603515625,0.6512105087050954,1
0.218017578125,1.1916306581369862,2
-0.3909912109375,0.5958153290684931,0
0.30450439453125,0.29790766453424655,1
0.652252197265625,0.14895383226712328,1
-0.1738739013671875,0.07447691613356164,0
0.41306304931640625,0.03723845806678082,1
0.7065315246582031,0.01861922903339041,1
0.35326576232910156,0.8753350183011338,2
0.17663288116455078,1.3036929129350054,2
0.08831644058227539,1.5178718602519412,2
-0.4558417797088623,0.7589359301259706,0
-0.7279208898544312,0.3794679650629853,0
0.13603955507278442,0.18973398253149265,1
-0.4319802224636078,0.09486699126574633,0
0.2840098887681961,0.04743349563287316,1
0.14200494438409805,0.8897421516008752,2
-0.428997527807951,0.4448710758004376,0
-0.7144987639039755,0.2224355379002188,0
-0.35724938195198774,0.977243172734548,2
-0.6786246909759939,0.488621586367274,0
-0.33931234548799694,1.1103361969680756,2
0.33034382725600153,0.5551680984840378,1
-0.33482808637199923,0.2775840492420189,0
0.3325859568140004,0.13879202462100945,1
0.6662929784070002,0.06939601231050473,1
0.3331464892035001,0.9007234099396909,2
0.16657324460175005,1.316387108754284,2
0.08328662230087502,1.5242189581615806,2
0.5416433111504375,0.7621094790807903,1
0.27082165557521876,1.2470801433248337,2
0.6354108277876094,0.6235400716624169,1
0.8177054138938047,0.31177003583120844,1
0.40885270694690234,1.0219104217000428,2
0.20442635347345117,1.3769806146344599,2
-0.3977868232632744,0.6884903073172299,0
-0.6988934116316372,0.34424515365861497,0
-0.8494467058158186,0.17212257682930748,0
-0.4247233529079093,0.9520866921990924,2
0.28763832354604535,0.4760433460995462,1
0.6438191617730227,0.2380216730497731,1
0.32190958088651134,0.9850362403093251,2
0.16095479044325567,1.358543523939101,2
0.5804773952216278,0.6792717619695505,1
-0.2097613023891861,0.33963588098477526,0
0.39511934880540694,0.16981794049238763,1
0.6975596744027035,0.08490897024619382,1
0.8487798372013518,0.04245448512309691,1
0.4243899186006759,0.8872526463459871,2
0.21219495930033794,1.3096517269574321,2
0.606097479650169,0.6548258634787161,1
0.3030487398250845,1.1934383355237967,2
-0.34847563008745774,0.5967191677618984,0
-0.17423781504372887,1.1643849876653878,2
-0.5871189075218645,0.5821924938326939,0
-0.29355945376093223,1.1571216507007855,2
-0.6467797268804661,0.5785608253503928,0
0.17661013655976693,0.2892804126751964,1
0.5883050682798835,0.1446402063375982,1
0.29415253413994175,0.9383455069532377,2
0.6470762670699709,0.46917275347661885,1
0.8235381335349854,0.23458637673830943,1
0.4117690667674927,0.9833185921535933,2
-0.29411546661625365,0.49165929607679665,0
-0.6470577333081269,0.24582964803839832,0
-0.32352886665406344,0.9889402278036378,2
-0.6617644333270317,0.4944701139018189,0
0.16911778333648414,0.24723505695090944,1
-0.41544110833175796,0.12361752847545472,0
-0.707720554165879,0.06180876423772736,0
